tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
3902,1242,56,1186,990,770,28,742,645,138,0,138,95,0,0,0,0,71,0,71,71,0,0,0,0,0,0,0,0,28,0,28,28,235,28,207,151
4001,2363,0,2363,2191,2028,0,2028,1956,128,0,128,96,0,0,0,0,53,0,53,53,0,0,0,0,0,0,0,0,27,0,27,0,127,0,127,86
4002,1317,0,1317,1157,1013,0,1013,892,81,0,81,42,0,0,0,0,97,0,97,97,0,0,0,0,0,0,0,0,80,0,80,80,46,0,46,46
4100,933,0,933,864,728,0,728,699,92,0,92,78,0,0,0,0,59,0,59,59,0,0,0,0,7,0,7,0,6,0,6,0,41,0,41,28
4201,1852,26,1826,1704,1452,0,1452,1417,113,26,87,0,0,0,0,0,74,0,74,74,0,0,0,0,15,0,15,15,48,0,48,48,150,0,150,150
4202,1573,2,1571,1484,930,0,930,881,2,2,0,0,0,0,0,0,31,0,31,29,0,0,0,0,28,0,28,28,254,0,254,228,328,0,328,318
4300,1697,70,1627,1404,1189,35,1154,1103,104,0,104,59,0,0,0,0,9,0,9,9,11,0,11,0,58,0,58,0,154,0,154,154,172,35,137,79
4401,1656,77,1579,1519,1148,0,1148,1136,168,77,91,87,0,0,0,0,163,0,163,163,0,0,0,0,41,0,41,19,25,0,25,25,111,0,111,89
4402,1054,55,999,647,631,5,626,516,310,50,260,66,0,0,0,0,20,0,20,4,0,0,0,0,32,0,32,32,49,0,49,17,12,0,12,12
4600,1388,40,1348,954,827,4,823,746,374,36,338,33,0,0,0,0,37,0,37,37,0,0,0,0,18,0,18,18,6,0,6,6,126,0,126,114
4702,1674,211,1463,1235,1070,5,1065,997,332,168,164,61,0,0,0,0,81,0,81,81,0,0,0,0,44,19,25,11,41,0,41,21,106,19,87,64
4703,1231,120,1111,901,533,0,533,513,127,12,115,62,0,0,0,0,362,108,254,117,0,0,0,0,85,0,85,85,0,0,0,0,124,0,124,124
4704,172,0,172,38,0,0,0,0,163,0,163,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0
4801,1560,133,1427,1175,750,35,715,676,461,63,398,215,0,0,0,0,36,0,36,36,0,0,0,0,68,0,68,68,61,0,61,46,184,35,149,134
4802,1568,251,1317,928,636,36,600,563,533,87,446,120,29,0,29,29,215,96,119,104,0,0,0,0,0,0,0,0,18,0,18,18,137,32,105,94
