"tract","offense","lat","long","female_pop","male_pop","total_pop","white","black","aian","asian","nhpi","other","multi","hisp"
102,"BURGLARY","38.9043052797","-77.0611722877",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.906800087","-77.0621313588",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9072138708","-77.0632500673",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"ROBBERY","38.9092682256","-77.0624102214",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9043052797","-77.0611722877",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9038924725","-77.0580822088",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9060722107","-77.0586489134",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.90508182","-77.0575874295",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9038919404","-77.0591428602",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.90682812","-77.0602059903",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9038914343","-77.0601343386",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9142112943","-77.0669460306",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9045746677","-77.0627980986",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"ASSAULT W/DANGEROUS WEAPON","38.9045746677","-77.0627980986",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9092494365","-77.0638398866",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9038919404","-77.0591428602",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"ROBBERY","38.9125586702","-77.0577433595",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9052068897","-77.0596742862",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.90508182","-77.0575874295",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9008211973","-77.0569153469",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9142112943","-77.0669460306",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9072138708","-77.0632500673",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9131678866","-77.0641662431",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9116356821","-77.065583064",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9045746677","-77.0627980986",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9095013345","-77.0644511878",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9064502938","-77.0591795692",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9060722107","-77.0586489134",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9086097622","-77.0639891987",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.905225426","-77.0586482171",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9146984446","-77.0657127167",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9105972027","-77.0527723812",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9025854892","-77.0596144501",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9077272025","-77.0635156997",1530,1714,3244,2519,34,0,118,0,147,94,332
