"tract","white_pop","black_pop","asian_pop","hisp_pop","aian_pop","nhpi_pop","other_pop","multi_pop"
7901,859,2300,28,138,0,0,30,243
7903,380,1065,36,28,7,0,10,4
8001,1736,586,83,108,0,0,10,39
8002,1937,516,26,193,0,0,0,16
8100,2442,165,61,211,8,0,81,55
8200,1988,141,55,167,0,0,47,123
8301,1691,246,149,99,0,0,31,25
8302,1730,191,46,150,0,0,72,102
8402,1358,583,18,171,0,0,9,75
8410,905,317,50,45,7,0,0,108
8701,982,1158,73,55,0,0,11,14
8702,1251,1276,135,203,0,0,15,164
8802,891,2478,47,115,0,0,0,42
8803,319,1432,37,224,0,11,127,66
8804,265,1557,0,126,36,0,34,94
8903,358,1718,0,101,0,0,67,54
8904,492,2440,36,317,0,0,130,110
9000,207,2772,39,88,0,69,2,6
9102,519,2382,89,211,16,0,14,115
9201,1010,689,84,148,2,0,10,59
