"tract","offense","lat","long","female_pop","male_pop","total_pop"
102,"THEFT F/AUTO","38.9043052797","-77.0611722877",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9055925925","-77.062833582",1390,1523,2913
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1390,1523,2913
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1390,1523,2913
102,"THEFT F/AUTO","38.9038924725","-77.0580822088",1390,1523,2913
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1390,1523,2913
102,"THEFT/OTHER","38.9025854892","-77.0596144501",1390,1523,2913
102,"BURGLARY","38.9025939755","-77.0606289753",1390,1523,2913
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1390,1523,2913
102,"THEFT F/AUTO","38.9025842716","-77.0619547575",1390,1523,2913
102,"THEFT F/AUTO","38.90682812","-77.0602059903",1390,1523,2913
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1390,1523,2913
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1390,1523,2913
102,"BURGLARY","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT/OTHER","38.9126655663","-77.0601302062",1390,1523,2913
102,"THEFT/OTHER","38.9025854892","-77.0596144501",1390,1523,2913
102,"BURGLARY","38.9052439817","-77.0575645024",1390,1523,2913
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1390,1523,2913
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1390,1523,2913
102,"THEFT/OTHER","38.9025842716","-77.0619547575",1390,1523,2913
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1390,1523,2913
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1390,1523,2913
102,"THEFT F/AUTO","38.9084676208","-77.0602419628",1390,1523,2913
102,"THEFT F/AUTO","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1390,1523,2913
102,"BURGLARY","38.9086097622","-77.0639891987",1390,1523,2913
102,"MOTOR VEHICLE THEFT","38.9116030127","-77.0592876152",1390,1523,2913
102,"THEFT F/AUTO","38.905998831","-77.0612083276",1390,1523,2913
102,"THEFT F/AUTO","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1390,1523,2913
102,"THEFT F/AUTO","38.907223954","-77.0612324377",1390,1523,2913
102,"THEFT F/AUTO","38.9076666704","-77.0586848127",1390,1523,2913
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1390,1523,2913
102,"THEFT F/AUTO","38.9036918556","-77.0627857926",1390,1523,2913
102,"MOTOR VEHICLE THEFT","38.908881465","-77.0612799792",1390,1523,2913
102,"BURGLARY","38.9095013345","-77.0644511878",1390,1523,2913
102,"BURGLARY","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9084393718","-77.06257091",1390,1523,2913
102,"BURGLARY","38.9152289174","-77.0675004574",1390,1523,2913
102,"BURGLARY","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9104570668","-77.0628955169",1390,1523,2913
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9025842716","-77.0619547575",1390,1523,2913
102,"THEFT/OTHER","38.9038914343","-77.0601343386",1390,1523,2913
102,"MOTOR VEHICLE THEFT","38.9056490834","-77.0581182265",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9025854892","-77.0596144501",1390,1523,2913
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1390,1523,2913
102,"ASSAULT W/DANGEROUS WEAPON","38.90508182","-77.0575874295",1390,1523,2913
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1390,1523,2913
102,"THEFT F/AUTO","38.9084676208","-77.0602419628",1390,1523,2913
102,"THEFT/OTHER","38.9099094625","-77.0592516181",1390,1523,2913
102,"THEFT F/AUTO","38.905998831","-77.0612083276",1390,1523,2913
102,"THEFT F/AUTO","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9043052797","-77.0611722877",1390,1523,2913
102,"THEFT/OTHER","38.9052439817","-77.0575645024",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1390,1523,2913
102,"THEFT F/AUTO","38.906800087","-77.0621313588",1390,1523,2913
102,"THEFT/OTHER","38.9072138708","-77.0632500673",1390,1523,2913
102,"THEFT F/AUTO","38.9098811724","-77.0616959106",1390,1523,2913
102,"BURGLARY","38.9055925925","-77.062833582",1390,1523,2913
102,"THEFT F/AUTO","38.9030080953","-77.0611365892",1390,1523,2913
102,"THEFT F/AUTO","38.9038919404","-77.0591428602",1390,1523,2913
102,"THEFT F/AUTO","38.9038924725","-77.0580822088",1390,1523,2913
102,"BURGLARY","38.9076478735","-77.0602182116",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT F/AUTO","38.9068379143","-77.0586610723",1390,1523,2913
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1390,1523,2913
102,"THEFT F/AUTO","38.9038924725","-77.0580822088",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
