,tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
109,7201,1570,0,1570,1387,1032,0,1032,937,149,0,149,99,0,0,0,0,36,0,36,17,0,0,0,0,31,0,31,31,132,0,132,132,190,0,190,171
110,7202,3198,55,3143,3025,2624,0,2624,2550,191,23,168,151,0,0,0,0,147,0,147,120,0,0,0,0,16,16,0,0,53,0,53,53,167,16,151,151
111,7203,2064,65,1999,1710,1270,0,1270,1229,558,65,493,253,0,0,0,0,131,0,131,131,0,0,0,0,0,0,0,0,29,0,29,29,76,0,76,68
112,7301,2691,0,2691,1693,1714,0,1714,1179,448,0,448,190,0,0,0,0,163,0,163,100,0,0,0,0,45,0,45,13,101,0,101,93,220,0,220,118
113,7304,2833,526,2307,426,188,19,169,159,2525,409,2116,245,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,9,0,9,9,62,49,13,13
114,7401,958,181,777,129,65,4,61,21,748,118,630,74,0,0,0,0,44,0,44,34,0,0,0,0,50,34,16,0,0,0,0,0,51,25,26,0
115,7403,1466,191,1275,95,0,0,0,0,1386,137,1249,95,0,0,0,0,0,0,0,0,0,0,0,0,70,54,16,0,0,0,0,0,10,0,10,0
116,7404,2570,261,2309,464,120,0,120,112,2184,261,1923,264,0,0,0,0,21,0,21,21,0,0,0,0,108,0,108,32,30,0,30,19,107,0,107,16
117,7406,1734,115,1619,346,3,0,3,0,1434,51,1383,197,0,0,0,0,0,0,0,0,0,0,0,0,125,25,100,70,68,14,54,30,104,25,79,49
118,7406,2191,312,1879,514,86,4,82,61,2031,286,1745,418,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,24,0,24,24,42,22,20,11
119,7408,1714,283,1431,201,76,0,76,11,1560,253,1307,172,18,0,18,18,0,0,0,0,0,0,0,0,38,15,23,0,0,0,0,0,22,15,7,0
120,7409,2620,779,1841,335,9,0,9,9,2107,408,1699,267,0,0,0,0,50,0,50,30,0,0,0,0,171,171,0,0,112,29,83,29,171,171,0,0
121,7502,3024,529,2495,375,44,14,30,22,2958,515,2443,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,13,0,0,0,0
122,7503,1577,242,1335,338,186,10,176,123,1275,222,1053,183,0,0,0,0,0,0,0,0,2,0,2,2,15,0,15,15,7,0,7,0,92,10,82,15
123,7504,1720,308,1412,307,16,2,14,0,1643,254,1389,298,9,0,9,9,0,0,0,0,0,0,0,0,7,7,0,0,19,19,0,0,26,26,0,0
124,7601,3872,757,3115,1198,419,116,303,253,3079,527,2552,775,0,0,0,0,18,0,18,18,0,0,0,0,78,32,46,46,73,0,73,34,205,82,123,72
125,7603,3085,362,2723,1562,120,0,120,83,2805,343,2462,1380,0,0,0,0,22,0,22,21,0,0,0,0,0,0,0,0,77,0,77,36,61,19,42,42
126,7604,3226,298,2928,874,169,0,169,121,2832,276,2556,622,0,0,0,0,45,0,45,34,0,0,0,0,2,0,2,0,151,22,129,72,27,0,27,25
127,7605,3320,319,3001,745,149,0,149,62,2928,319,2609,540,0,0,0,0,6,0,6,6,0,0,0,0,50,0,50,0,94,0,94,94,93,0,93,43
128,7703,5244,525,4719,389,16,0,16,16,4325,407,3918,338,0,0,0,0,0,0,0,0,0,0,0,0,434,59,375,0,12,0,12,12,457,59,398,23
129,7706,2745,323,2422,620,77,3,74,74,2356,296,2060,479,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,26,145,20,125,5,131,4,127,36
130,7708,1843,283,1560,118,0,0,0,0,1786,283,1503,118,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,0
131,7709,1506,243,1263,288,29,9,20,13,1376,225,1151,265,61,0,61,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,22,9,13,5
132,7803,2974,504,2470,566,142,6,136,86,2690,498,2192,441,0,0,0,0,25,0,25,25,0,0,0,0,23,0,23,0,38,0,38,14,56,0,56,0
133,7804,2423,376,2047,653,77,6,71,65,2221,370,1851,529,0,0,0,0,13,0,13,7,0,0,0,0,0,0,0,0,74,0,74,14,38,0,38,38
134,7806,2189,128,2061,554,95,0,95,87,2033,98,1935,445,30,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,22,0,22,22,8,0,8,0
135,7806,1707,164,1543,225,17,5,12,12,1614,144,1470,212,5,5,0,0,0,0,0,0,0,0,0,0,24,0,24,0,19,7,12,0,28,3,25,1
136,7808,2872,478,2394,659,18,0,18,18,2628,467,2161,593,43,0,43,43,0,0,0,0,0,0,0,0,15,0,15,0,11,11,0,0,157,0,157,5
137,7809,1918,298,1620,256,1,0,1,0,1780,284,1496,256,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,54,14,40,0,73,0,73,0
138,7901,3598,210,3388,1854,859,0,859,801,2300,195,2105,704,0,0,0,0,28,0,28,28,0,0,0,0,30,0,30,30,243,0,243,191,138,15,123,100
139,7903,1530,104,1426,681,380,0,380,361,1065,104,961,271,7,0,7,0,36,0,36,27,0,0,0,0,10,0,10,0,4,0,4,4,28,0,28,18
140,8001,2562,58,2504,2030,1736,0,1736,1612,586,57,529,210,0,0,0,0,83,0,83,68,0,0,0,0,10,0,10,10,39,1,38,38,108,0,108,92
141,8002,2688,88,2600,2149,1937,13,1924,1834,516,62,454,103,0,0,0,0,26,0,26,26,0,0,0,0,0,0,0,0,16,0,16,16,193,13,180,170
142,8100,3023,18,3005,2643,2442,0,2442,2284,165,18,147,66,8,0,8,8,61,0,61,61,0,0,0,0,81,0,81,11,55,0,55,48,211,0,211,165
143,8200,2521,3,2518,2298,1988,0,1988,1813,141,3,138,125,0,0,0,0,55,0,55,55,0,0,0,0,47,0,47,37,123,0,123,123,167,0,167,145
144,8301,2241,24,2217,2001,1691,0,1691,1552,246,24,222,145,0,0,0,0,149,0,149,149,0,0,0,0,31,0,31,31,25,0,25,25,99,0,99,99
145,8302,2291,93,2198,2006,1730,2,1728,1640,191,79,112,31,0,0,0,0,46,0,46,39,0,0,0,0,72,6,66,58,102,0,102,102,150,6,144,136
146,8402,2214,66,2148,1813,1358,0,1358,1331,583,66,517,209,0,0,0,0,18,0,18,18,0,0,0,0,9,0,9,9,75,0,75,75,171,0,171,171
147,8410,1432,50,1382,1225,905,0,905,881,317,50,267,134,7,0,7,7,50,0,50,50,0,0,0,0,0,0,0,0,108,0,108,108,45,0,45,45
148,8701,2293,178,2115,1608,982,0,982,970,1158,173,985,490,0,0,0,0,73,5,68,68,0,0,0,0,11,0,11,11,14,0,14,14,55,0,55,55
149,8702,3044,203,2841,2008,1251,35,1216,1037,1276,133,1143,585,0,0,0,0,135,0,135,95,0,0,0,0,15,0,15,15,164,0,164,159,203,35,168,117
150,8802,3573,322,3251,1447,891,17,874,770,2478,305,2173,518,0,0,0,0,47,0,47,40,0,0,0,0,0,0,0,0,42,0,42,30,115,0,115,89
151,8803,2216,278,1938,653,319,0,319,219,1432,165,1267,286,0,0,0,0,37,15,22,18,11,0,11,11,127,40,87,6,66,9,57,41,224,49,175,72
152,8804,2112,346,1766,657,265,48,217,126,1557,195,1362,441,36,0,36,0,0,0,0,0,0,0,0,0,34,34,0,0,94,7,87,62,126,62,64,28
153,8903,2298,132,2166,1128,358,4,354,326,1718,124,1594,718,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,0,54,0,54,54,101,4,97,30
154,8904,3525,829,2696,1110,492,126,366,345,2440,427,2013,587,0,0,0,0,36,0,36,36,0,0,0,0,130,75,55,30,110,0,110,36,317,201,116,76
155,9000,3183,349,2834,1287,207,16,191,178,2772,308,2464,949,0,0,0,0,39,0,39,39,69,0,69,69,2,0,2,2,6,0,6,0,88,25,63,50
156,9102,3346,562,2784,1231,519,63,456,354,2382,436,1946,679,16,0,16,16,89,0,89,89,0,0,0,0,14,0,14,14,115,0,115,47,211,63,148,32
157,9201,2002,143,1859,1530,1010,4,1006,935,689,104,585,370,2,0,2,0,84,6,78,71,0,0,0,0,10,0,10,3,59,0,59,57,148,29,119,94
158,9203,2554,136,2418,1322,600,0,600,439,1640,132,1508,621,34,0,34,34,30,0,30,21,0,0,0,0,62,0,62,62,53,0,53,53,135,4,131,92
159,9204,2261,577,1684,452,268,36,232,232,1284,301,983,192,25,0,25,0,0,0,0,0,0,0,0,0,280,101,179,2,40,1,39,8,364,138,226,18
160,9301,2888,118,2770,1872,1412,0,1412,1219,1108,71,1037,488,0,0,0,0,141,0,141,94,0,0,0,0,0,0,0,0,164,0,164,55,63,47,16,16
161,9302,1487,191,1296,719,373,35,338,282,622,66,556,338,0,0,0,0,26,0,26,26,10,0,10,0,132,28,104,0,42,0,42,42,282,62,220,31
162,9400,4119,320,3799,2200,878,23,855,651,2925,262,2663,1370,15,0,15,15,50,15,35,16,0,0,0,0,131,5,126,82,45,0,45,37,75,15,60,29
163,9503,2218,119,2099,1234,449,0,449,428,1722,119,1603,774,0,0,0,0,33,0,33,18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14
164,9504,2660,161,2499,1535,734,28,706,583,1365,133,1232,451,12,0,12,12,406,0,406,380,0,0,0,0,28,0,28,11,19,0,19,19,96,0,96,79
165,9505,3193,258,2935,1288,349,8,341,308,2392,120,2272,772,14,0,14,0,46,0,46,39,0,0,0,0,82,49,33,18,183,15,168,125,127,66,61,26
