tract,total,total_no,total_hs,total_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
008302,1095,40,1055,953,779,2,777,731,93,38,55,15,0,0,0,0,8,0,8,8,0,0,0,0,51,0,51,43,62,0,62,62,102,0,102,94
008402,1206,56,1150,915,639,0,639,624,478,56,422,202,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,34,0,34,34,46,0,46,46
008410,764,12,752,660,492,0,492,492,182,12,170,78,0,0,0,0,16,0,16,16,0,0,0,0,0,0,0,0,59,0,59,59,15,0,15,15
008701,1136,46,1090,849,411,0,411,411,652,41,611,370,0,0,0,0,36,5,31,31,0,0,0,0,5,0,5,5,14,0,14,14,18,0,18,18
008702,1786,71,1715,1148,605,17,588,518,839,37,802,396,0,0,0,0,107,0,107,67,0,0,0,0,0,0,0,0,125,0,125,125,110,17,93,42
008802,1646,171,1475,755,422,4,418,376,1140,167,973,315,0,0,0,0,27,0,27,20,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,44
008803,797,98,699,290,79,0,79,64,537,50,487,156,0,0,0,0,0,0,0,0,0,0,0,0,58,24,34,6,35,0,35,34,88,24,64,30
008804,1202,188,1014,519,134,28,106,66,943,132,811,363,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,62,62,56,28,28,28
008903,1138,59,1079,484,201,0,201,173,793,59,734,227,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,54,0,54,54,60,0,60,30
008904,1567,267,1300,504,303,41,262,259,992,133,859,162,0,0,0,0,6,0,6,6,0,0,0,0,65,26,39,14,67,0,67,36,134,67,67,27
009000,2088,227,1861,978,156,16,140,127,1755,186,1569,705,0,0,0,0,39,0,39,39,69,0,69,69,2,0,2,2,6,0,6,0,61,25,36,36
009102,1803,262,1541,598,189,0,189,115,1347,262,1085,371,16,0,16,16,67,0,67,67,0,0,0,0,0,0,0,0,92,0,92,28,92,0,92,1
009201,997,67,930,741,425,0,425,404,409,48,361,203,0,0,0,0,53,6,47,47,0,0,0,0,4,0,4,3,39,0,39,39,67,13,54,45
009203,1463,74,1389,690,357,0,357,219,971,74,897,367,11,0,11,11,9,0,9,9,0,0,0,0,27,0,27,27,36,0,36,36,52,0,52,21
009204,1237,387,850,266,136,0,136,136,891,253,638,122,0,0,0,0,0,0,0,0,0,0,0,0,100,66,34,0,9,1,8,8,101,67,34,0
009301,1327,0,1327,931,599,0,599,504,550,0,550,317,0,0,0,0,116,0,116,69,0,0,0,0,0,0,0,0,46,0,46,25,16,0,16,16
009302,679,102,577,387,177,34,143,143,344,12,332,231,0,0,0,0,0,0,0,0,10,0,10,0,35,11,24,0,3,0,3,3,110,45,65,10
009400,2207,136,2071,1409,409,5,404,386,1661,108,1553,932,0,0,0,0,8,8,0,0,0,0,0,0,59,5,54,54,8,0,8,8,62,10,52,29
009503,1265,78,1187,763,228,0,228,219,1004,78,926,526,0,0,0,0,33,0,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009504,1554,124,1430,945,311,28,283,259,840,96,744,331,0,0,0,0,292,0,292,278,0,0,0,0,28,0,28,11,10,0,10,10,73,0,73,56
009505,1874,115,1759,745,101,0,101,79,1487,39,1448,491,6,0,6,0,46,0,46,39,0,0,0,0,46,23,23,8,127,15,112,112,61,38,23,16
009507,744,70,674,264,26,0,26,26,571,20,551,169,0,0,0,0,0,0,0,0,0,0,0,0,62,25,37,23,23,0,23,23,62,25,37,23
009508,2119,200,1919,576,95,0,95,70,1631,82,1549,429,34,15,19,0,21,11,10,1,0,0,0,0,95,32,63,0,85,14,71,52,158,46,112,24
009509,1488,169,1319,692,178,0,178,167,1173,75,1098,525,0,0,0,0,0,0,0,0,0,0,0,0,78,47,31,0,0,0,0,0,59,47,12,0
009510,1885,237,1648,382,95,0,95,79,1274,98,1176,181,12,0,12,12,26,0,26,13,0,0,0,0,198,53,145,24,49,0,49,49,231,86,145,24
009511,85,7,78,47,37,0,37,25,21,7,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,4,17,0,17,11
009601,1073,131,942,268,34,20,14,12,920,111,809,205,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,52,0,52,28,57,0,57,23
009602,1628,140,1488,266,61,0,61,61,1481,140,1341,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,74,0,74,42
009603,1660,146,1514,216,0,0,0,0,1617,146,1471,199,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,21,0,21,11,6,0,6,6
009604,1126,99,1027,220,61,7,54,48,1025,81,944,168,11,0,11,4,0,0,0,0,0,0,0,0,5,0,5,0,8,2,6,0,16,9,7,0
009700,1232,23,1209,555,10,0,10,0,1222,23,1199,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009801,1015,331,684,70,24,0,24,6,833,317,516,20,34,7,27,19,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,80,7,73,25
009802,888,112,776,116,26,17,9,0,827,60,767,116,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,26,26,0,0
009803,1147,20,1127,155,23,0,23,10,1083,20,1063,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,27,14,0,14,14
009804,993,70,923,181,14,0,14,7,902,65,837,136,0,0,0,0,6,0,6,6,0,0,0,0,12,0,12,0,15,5,10,0,44,0,44,32
009807,1241,74,1167,246,33,2,31,26,1193,72,1121,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0
009810,674,33,641,89,3,0,3,0,671,33,638,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009811,1655,284,1371,93,0,0,0,0,1624,284,1340,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,19,0,0,0,0
009901,1122,70,1052,554,74,9,65,65,860,61,799,343,0,0,0,0,43,0,43,32,0,0,0,0,135,0,135,104,0,0,0,0,10,0,10,10
009902,1377,131,1246,296,24,2,22,14,1353,129,1224,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009903,822,71,751,289,60,0,60,60,751,71,680,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11
009904,1009,127,882,169,6,0,6,3,862,67,795,141,0,0,0,0,0,0,0,0,0,0,0,0,31,30,1,0,28,0,28,25,82,30,52,0
009905,908,70,838,198,3,0,3,2,846,70,776,196,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,38,0,38,0,0,0,0,0
009906,834,97,737,178,59,7,52,52,730,90,640,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,7,29,0,29,29
009907,972,91,881,171,0,0,0,0,932,91,841,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,20,0,20,20
010100,1522,65,1457,1255,831,0,831,798,62,7,55,55,0,0,0,0,205,0,205,193,0,0,0,0,73,0,73,22,109,29,80,62,242,29,213,125
010201,940,17,923,812,469,0,469,409,216,17,199,148,0,0,0,0,62,0,62,62,0,0,0,0,38,0,38,38,57,0,57,57,98,0,98,98
010202,867,25,842,618,525,0,525,430,268,25,243,122,0,0,0,0,29,0,29,29,0,0,0,0,2,0,2,2,0,0,0,0,43,0,43,35
010300,1921,268,1653,1009,306,0,306,287,1080,88,992,467,30,30,0,0,25,0,25,25,0,0,0,0,181,60,121,71,43,0,43,43,256,90,166,116
010400,2131,98,2033,471,316,0,316,0,1775,98,1677,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,36,0,36,0
